,Name,LongName,Country,Sector,FullTimeEmployees,EnterpriseValue,EarningsQuarterlyGrowth,ProfitMargins
0,600000.SS,"Shanghai Pudong Development Bank Co., Ltd.",China,Financial Services,58553,1.26244E+12,-0.259,0.50044
1,600004.SS,"Guangzhou Baiyun International Airport Co., Ltd.",China,Industrials,12888,27301666816,,0.058000002
2,600009.SS,"Shanghai International Airport Co., Ltd.",China,Industrials,8389,1.25068E+11,,0.24434
3,600010.SS,"Inner Mongolia Baotou Steel Union Co., Ltd.",China,Basic Materials,28041,90583728128,-0.264,-0.00474
4,600011.SS,"Huaneng Power International, Inc.",China,Utilities,58263,3.24386E+11,2.131,0.02123
5,600015.SS,"Hua Xia Bank Co., Limited",China,Financial Services,39749,7.22314E+11,-0.243,0.38145
6,600016.SS,"China Minsheng Banking Corp., Ltd.",China,Financial Services,58275,1.00989E+12,-0.254,0.45593
7,600018.SS,"Shanghai International Port (Group) Co., Ltd.",China,Industrials,14650,1.24796E+11,-0.114,0.27561
8,600019.SS,"Baoshan Iron & Steel Co., Ltd.",China,Basic Materials,52323,1.55321E+11,-0.318,0.03591
9,600025.SS,Huaneng Lancang River Hydropower Inc.,China,Utilities,3369,1.72869E+11,-0.283,0.22514
10,600027.SS,Huadian Power International Corporation Limited,China,Utilities,27287,1.58177E+11,0.34,0.04536
11,600028.SS,China Petroleum & Chemical Corporation,China,Energy,402206,8.48053E+11,,0.00146
12,600029.SS,China Southern Airlines Company Limited,China,Industrials,102233,2.84817E+11,,-0.05994
13,600030.SS,CITIC Securities Company Limited,China,Financial Services,17768,2.84503E+11,1.217,0.32513002
14,600031.SS,"Sany Heavy Industry Co., Ltd",China,Industrials,18450,2.10812E+11,0.779,0.15867
15,600036.SS,"China Merchants Bank Co., Ltd.",China,Financial Services,88535,1.46105E+12,-0.133,0.43608
16,600038.SS,Avicopter Plc,China,Industrials,11815,31270932480,0.519,0.03896
17,600048.SS,"Poly Developments and Holdings Group Co., Ltd.",China,Real Estate,56811,4.51759E+11,0.014,0.11793
18,600050.SS,China United Network Communications Limited,China,Communication Services,243790,1.69005E+11,0.156,0.01856
19,600061.SS,"SDIC Capital Co.,Ltd",China,Financial Services,6209,36200546304,2.537,0.41688
20,600066.SS,"Zhengzhou Yutong Bus Co., Ltd.",China,Consumer Cyclical,18082,33281554432,-0.446,0.051609997
21,600068.SS,China Gezhouba Group Company Limited,China,Industrials,39463,1.02313E+11,-0.472,0.0432
22,600085.SS,"Beijing Tongrentang Co., Ltd",China,Healthcare,18398,35945332736,-0.225,0.06641
23,600089.SS,"TBEA Co., Ltd.",China,Industrials,17098,52839911424,-0.152,0.049889997
24,600104.SS,SAIC Motor Corporation Limited,China,Consumer Cyclical,216360,1.93118E+11,0.319,0.02695
25,600109.SS,"Sinolink Securities Co., Ltd.",China,Financial Services,3258,32300969984,1.384,0.31688
26,600111.SS,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",China,Basic Materials,,49328459776,0.252,0.03537
27,600115.SS,China Eastern Airlines Corporation Limited,China,Industrials,80624,2.60383E+11,,-0.0836
28,600118.SS,"China Spacesat Co.,Ltd.",China,Industrials,4194,41081978880,-0.182,0.04879
29,600170.SS,"Shanghai Construction Group Co., Ltd.",China,Industrials,42762,47798472704,0.749,0.0156
30,600176.SS,"China Jushi Co., Ltd.",China,Basic Materials,11395,66314235904,-0.184,0.17799999
