,Name,LongName,Country,Sector,FullTimeEmployees,EnterpriseValue,EarningsQuarterlyGrowth,ProfitMargins
0,HPE,Hewlett Packard Enterprise Company,United States,Technology,61600.0,24841469952.0,,4e-05
1,JKHY,"Jack Henry & Associates, Inc.",United States,Technology,6717.0,12295022592.0,0.006,0.17481000000000002
2,NLOK,NortonLifeLock Inc.,United States,Technology,3600.0,15030162432.0,3.5380000000000003,1.6214300000000001
3,LDOS,"Leidos Holdings, Inc.",United States,Technology,37000.0,17555750912.0,0.125,0.05262000000000001
4,ANET,"Arista Networks, Inc.",United States,Technology,2300.0,14491759616.0,-0.23500000000000001,0.33155
5,STX,Seagate Technology plc,Ireland,Technology,42000.0,15763649536.0,-0.8310000000000001,0.09554000000000001
6,IT,"Gartner, Inc.",United States,Technology,16724.0,14193269760.0,-0.467,0.05702
7,WDC,Western Digital Corporation,United States,Technology,63800.0,18319298560.0,,-0.014939999
8,NTAP,"NetApp, Inc.",United States,Technology,10800.0,9587339264.0,-0.252,0.14473000000000003
9,WU,The Western Union Company,United States,Financial Services,11500.0,11246948352.0,-0.737,0.12380000000000001
10,FFIV,"F5 Networks, Inc.",United States,Technology,5786.0,7783004160.0,-0.187,0.13954000000000003
11,JNPR,"Juniper Networks, Inc.",United States,Technology,9838.0,7484083200.0,0.325,0.07893
12,IPGP,IPG Photonics Corporation,United States,Technology,5960.0,8701236224.0,-0.47100000000000003,0.10786000000000001
13,FLIR,"FLIR Systems, Inc.",United States,Technology,4265.0,5465479680.0,0.328,0.07417
14,DXC,DXC Technology Company,United States,Technology,138000.0,13681646592.0,,-0.29896998
15,XRX,Xerox Holdings Corporation,United States,Technology,26100.0,6575833600.0,-0.851,0.13387000000000002
16,LIN,Linde plc,United Kingdom,Basic Materials,76662.0,135561666560.0,-0.123,0.08373000500000001
17,APD,"Air Products and Chemicals, Inc.",United States,Basic Materials,17440.0,67858100224.0,-0.085,0.21577999
18,SHW,The Sherwin-Williams Company,United States,Basic Materials,61111.0,72664727552.0,0.265,0.09828
19,ECL,Ecolab Inc.,United States,Basic Materials,45000.0,63883010048.0,,-0.05908000000000001
20,NEM,Newmont Corporation,United States,Basic Materials,16600.0,54245478400.0,,0.36786997
21,DD,"DuPont de Nemours, Inc.",United States,Basic Materials,35000.0,60319297536.0,,-0.12312000000000001
22,DOW,Dow Inc.,United States,Basic Materials,36500.0,52980363264.0,,-0.050550000000000005
23,PPG,"PPG Industries, Inc.",United States,Basic Materials,47000.0,36705193984.0,-0.625,0.07228000500000001
24,BLL,Ball Corporation,United States,Consumer Cyclical,18300.0,37002543104.0,-0.523,0.032780003
25,FCX,Freeport-McMoRan Inc.,United States,Basic Materials,27500.0,45093584896.0,,-0.049239997
26,CTVA,"Corteva, Inc.",United States,Basic Materials,21000.0,25445859328.0,,0.036820000000000006
27,LYB,LyondellBasell Industries N.V.,United States,Basic Materials,19100.0,38886285312.0,-0.6880000000000001,0.067729995
28,VMC,Vulcan Materials Company,United States,Basic Materials,9173.0,22222041088.0,0.063,0.12597999000000001
29,AMCR,Amcor plc,Switzerland,Consumer Cyclical,47000.0,24016834560.0,,0.049099997000000006
30,MLM,"Martin Marietta Materials, Inc.",United States,Basic Materials,8846.0,19153377280.0,0.148,0.14070000000000002
31,IP,International Paper Company,United States,Consumer Cyclical,50000.0,26954379264.0,-0.089,0.029790001000000003
32,NUE,Nucor Corporation,United States,Basic Materials,26800.0,17702330368.0,-0.718,0.024920002
33,CE,Celanese Corporation,United States,Basic Materials,7700.0,18281734144.0,-0.488,0.11126999600000001
34,FMC,FMC Corporation,United States,Basic Materials,6400.0,17534703616.0,0.057,0.10349000000000001
35,IFF,International Flavors & Fragrances Inc.,United States,Basic Materials,13668.0,16482619392.0,-0.368,0.08269000000000001
36,EMN,Eastman Chemical Company,United States,Basic Materials,14500.0,17329299456.0,-0.895,0.066360004
37,AVY,Avery Dennison Corporation,United States,Industrials,28250.0,13064381440.0,-0.444,0.07678
38,PKG,Packaging Corporation of America,United States,Consumer Cyclical,15500.0,12768313344.0,-0.707,0.076519996
39,ALB,Albemarle Corporation,United States,Basic Materials,6000.0,13156318208.0,-0.445,0.12986
40,WRK,WestRock Company,United States,Consumer Cyclical,51100.0,20776785920.0,-0.293,0.04369000000000001
41,MOS,The Mosaic Company,United States,Basic Materials,12600.0,11876864000.0,,-0.12922
42,CF,"CF Industries Holdings, Inc.",United States,Basic Materials,3000.0,12725679104.0,-0.329,0.088690005
43,SEE,Sealed Air Corporation,United States,Consumer Cyclical,16500.0,10116058112.0,2.015,0.08239
44,AMT,American Tower Corporation (REIT),United States,Real Estate,5454.0,137019359232.0,0.04,0.24699000000000002
45,PLD,"Prologis, Inc.",United States,Real Estate,1712.0,97734688768.0,0.054,0.40852000000000005
46,EQIX,"Equinix, Inc. (REIT)",United States,Real Estate,9181.0,82844008448.0,-0.07100000000000001,0.08814000000000001
47,CCI,Crown Castle International Corp. (REIT),United States,Real Estate,5100.0,95084027904.0,-0.074,0.14508000000000001
48,DLR,"Digital Realty Trust, Inc.",United States,Real Estate,1550.0,57973755904.0,0.244,0.21162000000000003
49,SBAC,SBA Communications Corporation,United States,Real Estate,1475.0,47766798336.0,-0.28600000000000003,-0.0074400003
50,PSA,Public Storage,United States,Real Estate,5900.0,46800187392.0,-0.149,0.49716000000000005
51,WELL,Welltower Inc.,United States,Real Estate,443.0,37392240640.0,0.301,0.262
52,WY,Weyerhaeuser Company,United States,Real Estate,9400.0,27917293568.0,-0.438,0.046669997000000005
53,AVB,"AvalonBay Communities, Inc.",United States,Real Estate,3122.0,29006901248.0,0.015,0.33245
54,SPG,"Simon Property Group, Inc.",United States,Real Estate,3500.0,44937842688.0,-0.486,0.32821998
55,O,Realty Income Corporation,United States,Real Estate,201.0,29116098560.0,0.133,0.30298
56,ARE,"Alexandria Real Estate Equities, Inc.",United States,Real Estate,439.0,29797025792.0,1.916,0.23862000000000003
57,EQR,Equity Residential,United States,Real Estate,2600.0,28858331136.0,-0.156,0.41636002
58,CBRE,"CBRE Group, Inc.",United States,Real Estate,100000.0,19275061248.0,-0.634,0.04723
59,VTR,"Ventas, Inc.",United States,Real Estate,516.0,28358436864.0,,0.10551
60,PEAK,"Healthpeak Properties, Inc.",United States,Real Estate,204.0,21613350912.0,,0.14632
61,EXR,Extra Space Storage Inc.,United States,Real Estate,4048.0,20621158400.0,-0.018000000000000002,0.31993000000000005
62,DRE,Duke Realty Corporation,United States,Real Estate,400.0,18464636928.0,-0.44,0.39296000000000003
63,MAA,"Mid-America Apartment Communities, Inc.",United States,Real Estate,2476.0,18708570112.0,0.212,0.20434000000000002
64,ESS,"Essex Property Trust, Inc.",United States,Real Estate,1822.0,19745105920.0,-0.085,0.38511002
65,BXP,"Boston Properties, Inc.",United States,Real Estate,760.0,26726623232.0,0.612,0.35824
66,UDR,"UDR, Inc.",United States,Real Estate,1330.0,15839916032.0,0.622,0.15130000000000002
67,HST,"Host Hotels & Resorts, Inc.",United States,Real Estate,175.0,11527000064.0,,0.024900000000000002
68,IRM,Iron Mountain Incorporated,United States,Real Estate,25000.0,18813816832.0,,0.048240000000000005
69,REG,Regency Centers Corporation,United States,Real Estate,450.0,10538305536.0,-0.632,0.08364
70,VNO,Vornado Realty Trust,United States,Real Estate,4008.0,15317255168.0,,0.20786000000000002
71,FRT,Federal Realty Investment Trust,United States,Real Estate,308.0,9822129152.0,-0.87,0.31786000000000003
72,AIV,Apartment Investment and Management Company,United States,Real Estate,950.0,10640444416.0,-0.391,0.20072001
73,KIM,Kimco Realty Corporation,United States,Real Estate,502.0,10124879872.0,6.4030000000000005,0.93114996
74,SLG,SL Green Realty Corp.,United States,Real Estate,1033.0,10055051264.0,-0.627,0.21322000000000002
75,NEE,"NextEra Energy, Inc.",United States,Utilities,14800.0,196467277824.0,0.033,0.18707001
76,D,"Dominion Energy, Inc.",United States,Utilities,19100.0,112161398784.0,,0.032390002
77,DUK,Duke Energy Corporation,United States,Utilities,29000.0,136436342784.0,,0.089700006
78,SO,The Southern Company,United States,Utilities,27943.0,113767702528.0,-0.319,0.15754
79,AEP,"American Electric Power Company, Inc.",United States,Utilities,17408.0,77057056768.0,0.129,0.12542
80,XEL,Xcel Energy Inc.,United States,Utilities,11273.0,59534712832.0,0.20600000000000002,0.125
81,EXC,Exelon Corporation,United States,Utilities,32713.0,80518463488.0,0.076,0.07942
82,SRE,Sempra Energy,United States,Utilities,18000.0,63244013568.0,4.851,0.39117
83,ES,Eversource Energy,United States,Utilities,8234.0,46734254080.0,7.019,0.13514
84,WEC,"WEC Energy Group, Inc.",United States,Utilities,7500.0,44464537600.0,0.025,0.16253
85,PEG,Public Service Enterprise Group Incorporated,United States,Utilities,12992.0,46237413376.0,1.948,0.18094000000000002
86,AWK,"American Water Works Company, Inc.",United States,Utilities,6800.0,38335467520.0,0.035,0.1729
87,ED,"Consolidated Edison, Inc.",United States,Utilities,14890.0,50366750720.0,0.25,0.10857000000000001
88,PPL,PPL Corporation,United States,Utilities,12000.0,44706955264.0,-0.22,0.22617
89,DTE,DTE Energy Company,United States,Utilities,10700.0,41388228608.0,0.522,0.101330005
90,EIX,Edison International,United States,Utilities,12937.0,45484732416.0,-0.189,0.08928000000000001
91,ETR,Entergy Corporation,United States,Utilities,13600.0,42145951744.0,0.525,0.11774000500000001
92,AEE,Ameren Corporation,United States,Utilities,9323.0,31027503104.0,0.358,0.15248
