,Name,Country
0,^GSPC,us
1,^DJI,us
2,^IXIC,us
3,^NYA,us
4,^XAX,us
5,^BUK100P,dr
6,^RUT,us
7,^VIX,us
8,^FTSE,gb
9,^GDAXI,de
10,^FCHI,fr
11,^STOXX50E,ch
12,^N100,fr
13,^BFX,be
14,IMOEX.ME,ru
15,^N225,jp
16,^HSI,hk
17,000001.SS,cn
18,399001.SZ,cn
19,^STI,sg
20,^AXJO,au
21,^AORD,au
22,^BSESN,in
23,^JKSE,id
24,^KLSE,my
25,^NZ50,nz
26,^KS11,kr
27,^TWII,tw
28,^GSPTSE,ca
29,^BVSP,br
30,^MXX,mx
31,^IPSA,cl
32,^MERV,ar
33,^TA125.TA,il
34,^CASE30,eg
35,^JN0U.JO,za
36,^OMX,se
37,^IBEX,es
38,FTSEMIB.MI,it
39,^AEX,nl
40,XU100.IS,tr
41,^ATX,at
42,^OMXC25,se
43,^OMXH25,se
44,^ISEQ,ie
45,PSI20.LS,pt
46,FPXAA.PR,cz
47,WIHUN.FGI,hu
48,CRE.VI,hr
49,WICAN.FGI,ca
50,WIITA.FGI,it
51,WIESP.FGI,es
52,WIBRA.FGI,gr
53,WICZH.FGI,cz
54,WIGRC.FGI,gr
55,WIMAL.FGI,my
56,^KLSE,my
57,^MXX,mx
58,WITHA.FGI,th
59,WITUR.FGI,tr
60,WICHL.FGI,cl
61,WICOL.FGI,co
62,^DJEG20E,eg
63,WIIDN.FGI,id
64,^DJIMKW,kw
65,WIPAK.FGI,pk
66,WIPHL.FGI,ph
67,DUAE.FGI,ae
68,FTCUSAUN.FGI,sa
69,WIQAT.FGI,qa
70,^OMXI10,is
71,^NQMAEUR,ma
72,FVTT.FGI,vn
73,WIPER.FGI,pe
