,Date,Price,Name,Daily Change Rate
190,2020/1/5,2876.94,^DJEG20E ,0
189,2020/1/6,2856.81,^DJEG20E ,-0.006997018
188,2020/1/8,2918.53,^DJEG20E ,0.014456332
187,2020/1/9,2958.83,^DJEG20E ,0.028464271
186,2020/1/12,2975.68,^DJEG20E ,0.034321188
185,2020/1/13,2951.62,^DJEG20E ,0.025958136
184,2020/1/14,2960.23,^DJEG20E ,0.028950899
183,2020/1/15,2963.43,^DJEG20E ,0.030063192
182,2020/1/16,2974.85,^DJEG20E ,0.034032688
181,2020/1/19,2992.6,^DJEG20E ,0.040202437
180,2020/1/20,2967.35,^DJEG20E ,0.031425751
179,2020/1/21,2943.1,^DJEG20E ,0.022996656
178,2020/1/22,2964.89,^DJEG20E ,0.030570676
177,2020/1/23,2962.83,^DJEG20E ,0.029854637
176,2020/1/26,2964.3,^DJEG20E ,0.030365597
175,2020/1/27,2950.33,^DJEG20E ,0.025509743
174,2020/1/28,2947.82,^DJEG20E ,0.024637288
173,2020/1/29,2970.18,^DJEG20E ,0.032409435
172,2020/1/30,2998.28,^DJEG20E ,0.042176757
171,2020/2/2,2994.11,^DJEG20E ,0.040727301
170,2020/2/3,2988.87,^DJEG20E ,0.038905921
169,2020/2/4,2993.75,^DJEG20E ,0.040602168
168,2020/2/5,3011.66,^DJEG20E ,0.046827532
167,2020/2/6,3043.29,^DJEG20E ,0.057821852
166,2020/2/9,3044.92,^DJEG20E ,0.058388427
165,2020/2/10,3020.09,^DJEG20E ,0.049757729
164,2020/2/11,3024.08,^DJEG20E ,0.051144619
163,2020/2/12,2995.38,^DJEG20E ,0.041168742
162,2020/2/13,2997.82,^DJEG20E ,0.042016865
161,2020/2/16,2976.27,^DJEG20E ,0.034526267
160,2020/2/17,2984.78,^DJEG20E ,0.037484271
159,2020/2/18,2952.67,^DJEG20E ,0.026323107
158,2020/2/19,2959.4,^DJEG20E ,0.028662398
157,2020/2/20,2964.1,^DJEG20E ,0.030296078
156,2020/2/23,2958.46,^DJEG20E ,0.028335662
155,2020/2/24,2915.12,^DJEG20E ,0.013271045
154,2020/2/25,2889.79,^DJEG20E ,0.004466551
153,2020/2/26,2859.71,^DJEG20E ,-0.005989002
152,2020/2/27,2818.6,^DJEG20E ,-0.02027849
151,2020/3/1,2658.54,^DJEG20E ,-0.075913992
150,2020/3/2,2682.18,^DJEG20E ,-0.067696928
149,2020/3/3,2713.85,^DJEG20E ,-0.056688704
148,2020/3/4,2662.4,^DJEG20E ,-0.074572289
147,2020/3/5,2699.24,^DJEG20E ,-0.061767016
146,2020/3/8,2599.83,^DJEG20E ,-0.096321091
145,2020/3/9,2406.55,^DJEG20E ,-0.163503584
144,2020/3/10,2442.21,^DJEG20E ,-0.151108469
143,2020/3/11,2441.12,^DJEG20E ,-0.151487344
142,2020/3/15,2230.52,^DJEG20E ,-0.224690122
141,2020/3/16,2084.59,^DJEG20E ,-0.275414155
140,2020/3/17,2041.32,^DJEG20E ,-0.290454441
139,2020/3/18,1945.3,^DJEG20E ,-0.323830181
138,2020/3/19,2029.94,^DJEG20E ,-0.294410033
137,2020/3/22,2133.15,^DJEG20E ,-0.25853511
136,2020/3/23,2196.71,^DJEG20E ,-0.236442192
135,2020/3/24,2135.04,^DJEG20E ,-0.257878162
134,2020/3/25,2153.39,^DJEG20E ,-0.251499857
133,2020/3/26,2159.09,^DJEG20E ,-0.249518586
132,2020/3/29,2128.17,^DJEG20E ,-0.260266116
131,2020/3/30,2078.3,^DJEG20E ,-0.277600506
130,2020/3/31,2083.69,^DJEG20E ,-0.275726988
129,2020/4/1,2047.93,^DJEG20E ,-0.288156861
128,2020/4/2,2062.77,^DJEG20E ,-0.282998603
127,2020/4/5,2030.66,^DJEG20E ,-0.294159767
126,2020/4/6,2065.87,^DJEG20E ,-0.281921069
125,2020/4/7,2144.97,^DJEG20E ,-0.254426578
124,2020/4/8,2193.91,^DJEG20E ,-0.237415448
123,2020/4/9,2240.45,^DJEG20E ,-0.221238538
122,2020/4/12,2225.28,^DJEG20E ,-0.226511502
121,2020/4/13,2246.79,^DJEG20E ,-0.219034808
120,2020/4/14,2265.03,^DJEG20E ,-0.212694738
119,2020/4/15,2239.89,^DJEG20E ,-0.221433189
118,2020/4/16,2204.17,^DJEG20E ,-0.233849159
117,2020/4/21,2143.58,^DJEG20E ,-0.25490973
116,2020/4/22,2123.8,^DJEG20E ,-0.261785091
115,2020/4/23,2184.47,^DJEG20E ,-0.240696712
114,2020/4/26,2233.93,^DJEG20E ,-0.223504835
113,2020/4/27,2237.89,^DJEG20E ,-0.222128373
112,2020/4/28,2243.98,^DJEG20E ,-0.22001154
