,Date,WICAN.FGI,WIITA.FGI,WITHA.FGI,WIMAL.FGI,WIGRC.FGI,WICZH.FGI,WIIDN.FGI,WICOL.FGI,WICHL.FGI,WIPAK.FGI,WIPHL.FGI,WIQAT.FGI,^NQMAEUR,WIPER.FGI,WIBRA.FGI,WIESP.FGI,^DJEG20E ,^DJIMKW,^OMXI10,CRE.VI,FVTT.FGI,XU100.IS,^OMXC25 ,PSI20.LS
0,2020-10-19,"2,037.98",50.14,397.68,518.16,2.65,164.97,"5,680.98",371.6,935.93,331.79,"1,016.50",758.59,276.81,"1,170.64","10,949,132",263.65,"2,354.26",712.95,"2,245.99","1,021.87",983.48,"1,205.37","1,569.76","4,218.21"
1,2020-10-15,"2,066.80",49.36,407.84,516.06,2.7,162.68,"5,625.09",363.96,924,327.45,"1,003.36",762.03,279.93,"1,173.86","11,007,349",262.15,"2,381.72",730.73,"2,219.38","1,025.30",981.96,"1,180.43","1,570.79","4,194.82"
2,2020-10-14,"2,061.36",50.86,414.14,519.12,2.75,164.87,"5,728.50",369.59,928.19,330.35,"1,002.75",765.43,280.7,"1,173.63","11,028,322",265.63,"2,385.38",729.54,"2,212.68","1,029.11",975.7,"1,189.29","1,598.27","4,300.30"
3,2020-10-07,"2,061.92",50.55,415.87,505.53,2.8,167.5,"5,530.85",368.05,908.34,325.42,995.69,760.73,275.76,"1,194.36","10,652,002",265.52,"2,384.42",715.41,"2,094.48","1,023.08",951.3,"1,152.41","1,536.63","4,179.01"
4,2020-10-06,"2,035.55",50.43,411.05,511.12,2.84,166.93,"5,519.95",366.68,916.32,322.13,"1,003.20",766.17,274.67,"1,197.62","10,619,316",266.8,"2,357.24",708.39,"2,045.90","1,024.10",947.47,"1,153.71","1,528.29","4,182.97"
5,2020-10-05,"2,058.19",50.01,407.97,513.52,2.81,164.56,"5,448.81",361.57,930.53,324.45,"1,007.09",760.95,272.61,"1,186.13","10,676,984",262.82,"2,332.34",698.06,"2,064.45","1,022.89",944.39,"1,160.71","1,539.83","4,135.98"
6,2020-10-01,"2,028.29",49.51,410.81,505.32,2.79,164.28,"5,487.20",359.52,931.38,333.81,"1,005.63",765.03,269.04,"1,164.14","10,619,638",258.36,"2,339.63",677.38,"2,078.09","1,021.27",945.98,"1,143.51","1,525.68","4,106.16"
7,2020-09-30,"2,022.05",49.57,406.34,507.23,2.77,164.04,"5,311.20",361.05,931.23,329.56,991.57,766.9,268.52,"1,173.56","10,514,393",258.1,"2,328.64",677.38,"2,088.38","1,015.00",936.93,"1,145.24","1,508.36","4,067.02"
8,2020-09-29,"2,034.50",49.71,414.16,507.72,2.78,163.5,"5,345.34",358.82,912.67,331.86,987.21,758.4,268.17,"1,162.75","10,406,920",257.85,"2,328.73",677.38,"2,089.02","1,016.91",934.39,"1,123.25","1,512.51","4,033.26"
9,2020-09-24,"1,999.76",49.4,410.23,505.25,2.78,162.62,"5,340.56",366.49,910.64,334.18,988.96,745.56,268.81,"1,170.02","10,749,154",255.06,"2,311.53",697.68,"2,063.70","1,036.03",937.35,"1,119.56","1,465.21","4,049.52"
10,2020-09-23,"1,988.03",49.54,417.51,501.3,2.79,163.23,"5,440.54",367.25,905.58,336.73,996.76,748.25,272.37,"1,145.91","10,607,481",254.83,"2,326.00",699.85,"2,086.25","1,042.87",944.66,"1,102.65","1,483.08","4,087.51"
11,2020-09-22,"2,026.12",49.39,421.07,503.79,2.83,165.29,"5,450.21",373.96,943.05,337.24,996.48,753.4,272.19,"1,178.81","10,763,963",254.73,"2,321.87",695.04,"2,096.95","1,025.05",938.36,"1,096.16","1,475.27","4,121.94"
12,2020-09-21,"2,004.79",49.09,425.45,501.3,2.88,164.01,"5,543.06",381.6,947.71,340.99,"1,001.23",751.43,272.75,"1,177.77","10,750,225",256.55,"2,308.95",694.2,"2,093.83","1,019.38",939.53,"1,087.03","1,469.48","4,158.14"
13,2020-09-17,"2,034.89",51.48,430.88,505.96,3.02,167.28,"5,617.52",391.88,983.72,340.79,"1,003.68",765.51,270.65,"1,224.92","11,049,873",271.0,"2,340.11",685.94,"2,167.47","1,015.78",920.32,"1,110.66","1,492.81","4,286.76"
14,2020-09-15,"2,062.49",52.17,432.46,512.08,3.02,169.2,"5,726.48",395.0,987.4,342.26,"1,015.67",760.4,272.43,"1,210.10","11,083,726",270.21,"2,338.51",679.59,"2,146.30","1,018.87",922.8,"1,111.24","1,477.99","4,284.16"
15,2020-09-14,"2,056.13",51.71,428.44,506.21,3.02,169.8,"5,845.12",391.38,972.82,344.09,"1,014.20",756.45,273.27,"1,224.10","11,075,538",267.41,"2,342.93",681.88,"2,149.95","1,013.61",920.74,"1,107.29","1,463.51","4,285.97"
16,2020-09-10,"2,035.32",51.98,433.89,492.19,2.9,170.35,"5,496.17",400.23,967.74,342.86,999.28,754.8,276.31,"1,213.80","10,924,892",269.0,"2,353.69",666.79,"2,183.13","1,008.55",914.98,"1,099.06","1,468.96","4,326.02"
17,2020-09-09,"2,061.60",51.93,434.71,498.19,2.86,169.53,"5,853.84",408.74,988.95,335.66,"1,004.33",751.84,275.39,"1,236.52","11,193,711",270.15,"2,323.73",661.27,"2,204.91","1,007.37",913.93,"1,099.68","1,474.58","4,354.05"
18,2020-09-08,"2,023.95",51.02,435.37,508.5,2.86,170.77,"6,006.74",402.53,993.28,335.49,"1,021.99",756.86,274.41,"1,218.79","11,063,520",267.4,"2,334.52",663.62,"2,190.06",998.96,915.49,"1,089.60","1,439.29","4,260.88"
19,2020-09-03,"2,069.71",51.43,441.78,512.97,2.95,171.23,"6,070.85",420.98,"1,005.48",341.74,975.91,764.12,277.45,"1,259.35","11,142,645",268.78,"2,385.48",653.93,"2,122.72","1,014.89",929.07,"1,076.34","1,471.70","4,324.00"
20,2020-09-01,"2,095.90",51.36,440.06,518.28,2.93,172.6,"6,117.60",425.72,979.45,339.22,983.35,762.31,277.55,"1,268.58","11,338,540",266.71,"2,401.71",647.28,"2,106.87","1,013.57",915.97,"1,085.19","1,465.50","4,307.12"
21,2020-08-27,"2,108.47",52.05,448.33,529.61,2.91,173.49,"6,220.47",399.86,997.94,345.81,"1,005.97",772.01,272.77,"1,232.98","11,187,110",271.82,"2,444.68",644.85,"2,100.32","1,004.84",899.12,"1,108.93","1,481.45","4,371.39"
22,2020-08-26,"2,115.95",52.89,448.46,528.37,2.93,174.54,"6,178.19",397.85,989.52,345.87,"1,007.26",772.31,275.36,"1,238.25","11,164,095",273.1,"2,442.99",645.55,"2,094.32","1,001.67",897.65,"1,099.02","1,489.44","4,390.65"
23,2020-08-25,"2,092.01",52.64,447.81,529.53,2.92,174.32,"6,186.94",397.13,"1,002.89",334.16,"1,012.07",771.99,276.24,"1,229.78","11,338,268",272.91,"2,447.70",643.48,"2,072.35","1,006.71",898.76,"1,092.16","1,479.71","4,381.72"
24,2020-08-24,"2,092.31",52.92,446.74,534.99,2.9,173.4,"6,082.38",392.59,"1,013.60",330.49,"1,009.96",771.1,276.11,"1,225.65","11,334,267",272.82,"2,443.81",640.08,"2,085.43",999.12,892.43,"1,108.44","1,478.68","4,428.79"
25,2020-08-19,"2,086.22",52.8,446.57,537.04,2.95,174.38,"6,079.77",386.59,"1,027.71",338.72,"1,027.87",770.01,276.66,"1,230.60","11,164,297",272.25,"2,392.34",644.3,"2,099.35",994.69,875.43,"1,124.71","1,467.04","4,407.71"
26,2020-08-18,"2,093.31",52.23,455.84,538.66,2.94,176.76,"6,114.21",391.27,"1,019.39",337.96,"1,049.36",767.85,277.04,"1,240.56","11,304,833",270.46,"2,375.26",642.49,"2,081.02",999.99,872.22,"1,092.46","1,453.47","4,407.45"
27,2020-08-13,"2,081.11",53.31,461.31,537.45,3.0,176.99,"6,018.89",383.42,"1,015.56",341.27,"1,040.51",753.22,278.04,"1,228.58","11,134,898",278.72,"2,341.64",639.89,"2,109.34","1,005.33",881.3,"1,100.26","1,482.14","4,479.11"
28,2020-08-11,"2,079.08",53.2,455.42,534.29,2.9,178.65,"5,899.11",377.9,"1,016.55",344.91,"1,019.23",745.63,275.93,"1,199.76","11,318,485",279.37,"2,340.55",635.34,"2,129.07","1,001.79",871.74,"1,110.05","1,470.73","4,434.06"
29,2020-08-10,"2,089.48",51.83,449.2,536.34,2.87,176.78,"5,851.74",381.48,"1,008.62",338.44,"1,013.73",740.43,275.74,"1,216.45","11,438,922",271.55,"2,342.99",631.68,"2,101.62",997.5,872.99,"1,075.52","1,439.44","4,396.49"
30,2020-08-06,"2,083.55",51.33,454.73,543.44,2.92,174.75,"5,890.53",378.23,"1,024.51",344.5,"1,003.64",742.0,274.82,"1,199.58","11,539,470",268.4,"2,311.06",629.17,"2,111.06",988.78,869.25,"1,034.40","1,432.21","4,378.27"
31,2020-07-29,"2,049.66",52.54,457.81,551.17,2.93,172.03,"5,781.15",398.7,"1,061.12",334.74,"1,012.10",737.25,275.64,"1,200.32","11,664,296",278.22,"2,280.94",629.6,"2,115.84",987.34,815.26,"1,135.55","1,442.87","4,395.60"
32,2020-07-22,"2,034.92",54.33,466.18,541.49,2.98,180.14,"5,821.83",400.77,"1,041.55",320.32,"1,028.09",740.23,275.49,"1,156.93","11,485,063",285.62,"2,257.46",636.05,"2,078.93","1,006.30",878.38,"1,180.80","1,466.03","4,509.75"
33,2020-07-21,"2,033.41",54.79,473.1,544.08,2.95,181.5,"5,827.75",397.52,"1,014.10",317.84,"1,039.54",740.95,276.61,"1,156.24","11,481,142",289.3,"2,275.58",649.44,"2,058.37","1,007.72",884.83,"1,180.42","1,473.47","4,545.81"
34,2020-07-20,"2,035.98",54.47,466.55,542.15,3.01,181.74,"5,733.30",392.05,"1,011.33",316.93,"1,041.12",737.78,277.33,"1,137.82","11,496,722",288.9,"2,246.47",650.5,"2,047.13","1,001.14",883.97,"1,192.81","1,464.68","4,533.49"
35,2020-07-16,"2,016.75",54.02,463.14,535.68,2.96,180.92,"5,814.72",394.4,"1,043.69",317.04,"1,040.35",735.35,277.84,"1,128.31","11,067,937",288.88,"2,262.55",653.22,"2,060.14","1,009.71",904.26,"1,188.08","1,436.48","4,468.22"
36,2020-07-14,"2,004.91",52.77,461.71,545.47,2.94,179.44,"5,794.77",389.4,"1,076.37",314.41,"1,043.07",736.38,273.23,"1,120.74","11,069,128",284.34,"2,345.10",659.84,"2,046.75","1,010.05",890.17,"1,177.41","1,408.53","4,450.10"
37,2020-07-13,"1,968.72",53.01,461.28,549.41,2.88,180.97,"5,761.47",391.59,"1,056.90",313.68,"1,039.01",737.13,273.46,"1,114.15","10,887,987",286.74,"2,377.42",670.29,"2,037.94","1,015.18",887.88,"1,183.99","1,424.47","4,472.83"
38,2020-07-09,"1,957.64",51.81,471.72,541.54,2.89,182.46,"5,740.86",389.73,"1,043.36",313.7,"1,044.04",738.76,275.12,"1,099.99","10,968,925",279.18,"2,373.49",665.4,"2,022.54","1,020.44",898.12,"1,157.94","1,405.20","4,430.35"
39,2020-07-08,"1,966.44",52.92,471.1,540.97,2.93,181.82,"5,800.92",398.87,"1,076.35",307.94,"1,057.21",726.83,273.5,"1,125.90","11,048,977",283.04,"2,407.89",666.88,"2,040.91","1,016.12",889,"1,187.13","1,399.83","4,476.47"
