,Date,Price,Name,Daily Change Rate
0,2020/1/2,10638.82031,399001.SZ,0
1,2020/1/3,10656.41016,399001.SZ,0.001653364
2,2020/1/6,10698.26953,399001.SZ,0.005587952
3,2020/1/7,10829.0498,399001.SZ,0.017880694
4,2020/1/8,10706.87012,399001.SZ,0.006396368
5,2020/1/9,10898.16992,399001.SZ,0.024377666
6,2020/1/10,10879.83984,399001.SZ,0.022654723
7,2020/1/13,11040.2002,399001.SZ,0.037727856
8,2020/1/14,10988.76953,399001.SZ,0.032893611
9,2020/1/15,10972.32031,399001.SZ,0.031347461
10,2020/1/16,10967.44043,399001.SZ,0.030888774
11,2020/1/17,10954.38965,399001.SZ,0.029662061
12,2020/1/20,11115.87988,399001.SZ,0.044841397
13,2020/1/21,10953.41016,399001.SZ,0.029569993
14,2020/1/22,11072.05957,399001.SZ,0.04072249
15,2020/1/23,10681.90039,399001.SZ,0.004049328
16,2020/2/3,9779.669922,399001.SZ,-0.080756171
17,2020/2/4,10089.66992,399001.SZ,-0.051617602
18,2020/2/5,10305.5,399001.SZ,-0.031330571
19,2020/2/6,10601.33984,399001.SZ,-0.003522991
20,2020/2/7,10611.5498,399001.SZ,-0.002563302
21,2020/2/10,10728.45996,399001.SZ,0.008425713
22,2020/2/11,10768.62988,399001.SZ,0.0122015
23,2020/2/12,10940.7998,399001.SZ,0.028384678
24,2020/2/13,10864.32031,399001.SZ,0.021195959
25,2020/2/14,10916.30957,399001.SZ,0.026082709
26,2020/2/17,11241.5,399001.SZ,0.056649109
27,2020/2/18,11306.49023,399001.SZ,0.062757891
28,2020/2/19,11235.59961,399001.SZ,0.056094499
29,2020/2/20,11509.08984,399001.SZ,0.081801319
30,2020/2/21,11629.7002,399001.SZ,0.093138135
31,2020/2/24,11772.37988,399001.SZ,0.106549367
32,2020/2/25,11856.08008,399001.SZ,0.114416799
33,2020/2/26,11497.5498,399001.SZ,0.080716608
34,2020/2/27,11534.01953,399001.SZ,0.084144594
35,2020/2/28,10980.76953,399001.SZ,0.032141648
36,2020/3/2,11381.75977,399001.SZ,0.069832879
37,2020/3/3,11484.20996,399001.SZ,0.079462725
38,2020/3/4,11493.01953,399001.SZ,0.080290784
39,2020/3/5,11711.37012,399001.SZ,0.100814731
40,2020/3/6,11582.82031,399001.SZ,0.088731642
41,2020/3/9,11108.5498,399001.SZ,0.044152404
42,2020/3/10,11403.46973,399001.SZ,0.071873515
43,2020/3/11,11200.0498,399001.SZ,0.052752982
44,2020/3/12,10941.00977,399001.SZ,0.028404414
45,2020/3/13,10831.12988,399001.SZ,0.018076212
46,2020/3/16,10253.28027,399001.SZ,-0.036238984
47,2020/3/17,10202.75,399001.SZ,-0.040988596
48,2020/3/18,10029.57031,399001.SZ,-0.057266688
49,2020/3/19,10019.86035,399001.SZ,-0.058179379
50,2020/3/20,10150.12988,399001.SZ,-0.045934645
51,2020/3/23,9691.530273,399001.SZ,-0.089040891
52,2020/3/24,9921.679688,399001.SZ,-0.067407908
53,2020/3/25,10241.08008,399001.SZ,-0.037385746
54,2020/3/26,10155.36035,399001.SZ,-0.045443005
55,2020/3/27,10109.91016,399001.SZ,-0.049715113
56,2020/3/30,9904.950195,399001.SZ,-0.068980403
57,2020/3/31,9962.299805,399001.SZ,-0.063589805
58,2020/4/1,9951.839844,399001.SZ,-0.064572993
59,2020/4/2,10179.2002,399001.SZ,-0.043202169
60,2020/4/3,10110.11035,399001.SZ,-0.049696296
61,2020/4/7,10428.91016,399001.SZ,-0.019730586
62,2020/4/8,10386.5498,399001.SZ,-0.023712263
63,2020/4/9,10463.0498,399001.SZ,-0.016521616
64,2020/4/10,10298.41016,399001.SZ,-0.031996983
65,2020/4/13,10223.16016,399001.SZ,-0.039070136
66,2020/4/14,10475.70996,399001.SZ,-0.01533162
67,2020/4/15,10417.37012,399001.SZ,-0.020815296
68,2020/4/16,10470.79004,399001.SZ,-0.01579407
69,2020/4/17,10527.99023,399001.SZ,-0.010417516
70,2020/4/20,10621.5,399001.SZ,-0.001628029
71,2020/4/21,10506.86035,399001.SZ,-0.012403627
72,2020/4/22,10617.19043,399001.SZ,-0.002033109
73,2020/4/23,10564.0498,399001.SZ,-0.007028083
74,2020/4/24,10423.45996,399001.SZ,-0.020242879
75,2020/4/27,10452.16992,399001.SZ,-0.017544275
76,2020/4/28,10501.15039,399001.SZ,-0.012940337
77,2020/4/29,10514.16992,399001.SZ,-0.011716561
78,2020/4/30,10721.78027,399001.SZ,0.007797853
79,2020/5/6,10883.21973,399001.SZ,0.022972417
80,2020/5/7,10863.29004,399001.SZ,0.021099118
81,2020/5/8,11001.58008,399001.SZ,0.034097743
82,2020/5/11,10969.28027,399001.SZ,0.031061711
83,2020/5/12,11015.55957,399001.SZ,0.035411751
84,2020/5/13,11074.58984,399001.SZ,0.040960324
85,2020/5/14,10962.15039,399001.SZ,0.030391535
86,2020/5/15,10964.88965,399001.SZ,0.030649012
87,2020/5/18,10921.15039,399001.SZ,0.026537724
88,2020/5/19,11052.84961,399001.SZ,0.038916843
89,2020/5/20,10948.48047,399001.SZ,0.029106625
90,2020/5/21,10845.40039,399001.SZ,0.019417574
91,2020/5/22,10604.96973,399001.SZ,-0.003181799
92,2020/5/25,10592.83984,399001.SZ,-0.004321952
93,2020/5/26,10815.42969,399001.SZ,0.016600466
94,2020/5/27,10682.7002,399001.SZ,0.004124506
95,2020/5/28,10653.49023,399001.SZ,0.001378905
96,2020/5/29,10746.08008,399001.SZ,0.010081923
97,2020/6/1,11102.15039,399001.SZ,0.043550889
98,2020/6/2,11112.5,399001.SZ,0.044523704
99,2020/6/3,11108.36035,399001.SZ,0.044134596
100,2020/6/4,11139.25977,399001.SZ,0.047038999
101,2020/6/5,11180.59961,399001.SZ,0.050924753
102,2020/6/8,11215.75977,399001.SZ,0.054229645
103,2020/6/9,11284.24023,399001.SZ,0.060666493
104,2020/6/10,11335.86035,399001.SZ,0.065518546
105,2020/6/11,11243.62012,399001.SZ,0.05684839
106,2020/6/12,11251.70996,399001.SZ,0.057608798
107,2020/6/15,11192.26953,399001.SZ,0.052021672
108,2020/6/16,11398.96973,399001.SZ,0.071450536
109,2020/6/17,11420.83984,399001.SZ,0.073506226
110,2020/6/18,11494.5498,399001.SZ,0.080434622
111,2020/6/19,11668.12988,399001.SZ,0.096750348
112,2020/6/22,11702.44043,399001.SZ,0.099975381
113,2020/6/23,11794.00977,399001.SZ,0.108582476
114,2020/6/24,11813.53027,399001.SZ,0.110417314
115,2020/6/29,11752.36035,399001.SZ,0.104667624
116,2020/6/30,11992.34961,399001.SZ,0.127225506
117,2020/7/1,12112.95996,399001.SZ,0.138562322
118,2020/7/2,12269.49023,399001.SZ,0.153275445
119,2020/7/3,12433.25977,399001.SZ,0.168669025
120,2020/7/6,12941.71973,399001.SZ,0.216461915
121,2020/7/7,13163.98047,399001.SZ,0.237353398
122,2020/7/8,13406.37012,399001.SZ,0.260136906
123,2020/7/9,13754.74023,399001.SZ,0.292882089
124,2020/7/10,13671.24023,399001.SZ,0.285033475
125,2020/7/13,14149.13965,399001.SZ,0.329953814
126,2020/7/14,13996.45996,399001.SZ,0.315602628
127,2020/7/15,13734.12988,399001.SZ,0.290944811
128,2020/7/16,12996.33984,399001.SZ,0.221595953
129,2020/7/17,13114.94043,399001.SZ,0.232743861
130,2020/7/20,13448.84961,399001.SZ,0.264129783
131,2020/7/21,13536.16992,399001.SZ,0.272337489
132,2020/7/22,13657.03027,399001.SZ,0.283697804
133,2020/7/23,13661.5,399001.SZ,0.284117938
134,2020/7/24,12935.7002,399001.SZ,0.215896106
135,2020/7/27,12976.87012,399001.SZ,0.219765889
136,2020/7/28,13147.34961,399001.SZ,0.235790174
137,2020/7/29,13557.44043,399001.SZ,0.274336819
138,2020/7/30,13466.84961,399001.SZ,0.2658217
139,2020/7/31,13637.87988,399001.SZ,0.281897756
