,location,Name,drop_rate,change_rate,drop_rate_percentage,change_rate_percentage,Alpha-2 code,Alpha-3 code,id,Latitude (average),Longitude (average),total_cases_per_million,continent,drop_rate_nom,change_rate_nom
0,Argentina,^MERV,-0.40984803198598296,0.23194151843879585,-40.98%,23.19%,AR,ARG,32,-34.0,-64.0,0.022000000000000002,South America,0.40984803198598296,0.23194151843879585
1,Australia,^AXJO,-0.3305573668269053,-0.13512301446521058,-33.06%,-13.51%,AU,AUS,36,-27.0,133.0,0.039,Oceania,0.3305573668269053,0.13512301446521058
2,Belgium,^BFX,-0.3631663222921142,-0.19885194457984023,-36.32%,-19.89%,BE,BEL,56,50.8333,4.0,0.086,Europe,0.3631663222921142,0.19885194457984023
3,Brazil,^BVSP,-0.41354983779330234,-0.14747935941227963,-41.35%,-14.75%,BR,BRA,76,-10.0,-55.0,0.005,South America,0.41354983779330234,0.14747935941227963
4,Canada,^GSPTSE,-0.3210472438671338,-0.0820065364212903,-32.10%,-8.20%,CA,CAN,124,60.0,-95.0,0.026000000000000002,North America,0.3210472438671338,0.0820065364212903
5,Chile,WICHL.FGI,-0.3604476351351351,-0.21605574324324317,-36.04%,-21.61%,CL,CHL,152,-30.0,-71.0,0.052000000000000005,South America,0.3604476351351351,0.21605574324324317
6,China,399001.SZ,-0.10820421696035565,0.2185411117390368,-10.82%,21.85%,CN,CHN,156,35.0,105.0,0.019,Asia,0.10820421696035565,0.2185411117390368
7,Colombia,WICOL.FGI,-0.6075342060060416,-0.45271871112953865,-60.75%,-45.27%,CO,COL,170,4.0,-72.0,0.02,South America,0.6075342060060416,0.45271871112953865
8,Croatia,CRE.VI,-0.2759343725460712,-0.14030207341319567,-27.59%,-14.03%,HR,HRV,191,45.1667,15.5,0.244,Europe,0.2759343725460712,0.14030207341319567
9,Czech Republic,WICZH.FGI,-0.3355385844951603,-0.26796021667702685,-33.55%,-26.80%,CZ,CZE,203,49.75,15.5,0.28,Europe,0.3355385844951603,0.26796021667702685
10,France,^FCHI,-0.3691133301693377,-0.1913817872101069,-36.91%,-19.14%,FR,FRA,250,46.0,2.0,0.046,Europe,0.3691133301693377,0.1913817872101069
11,Germany,^GDAXI,-0.3755580761839147,-0.055184598570418464,-37.56%,-5.52%,DE,DEU,276,51.0,9.0,0.012,Europe,0.3755580761839147,0.055184598570418464
12,Greece,WIGRC.FGI,-0.4588744588744589,-0.40476190476190477,-45.89%,-40.48%,GR,GRC,300,39.0,22.0,0.096,Europe,0.4588744588744589,0.40476190476190477
13,Hong Kong,^HSI,-0.21502460314517713,-0.10806845447756053,-21.50%,-10.81%,HK,HKG,344,22.25,114.1667,0.019,Asia,0.21502460314517713,0.10806845447756053
14,Iceland,^OMXI10,-0.22726996602819616,0.033957785243994065,-22.73%,3.40%,IS,ISL,352,65.0,-18.0,2.93,Europe,0.22726996602819616,0.033957785243994065
15,India,^BSESN,-0.3154361864155555,-0.012783721383974989,-31.54%,-1.28%,IN,IND,356,20.0,77.0,0.001,Asia,0.3154361864155555,0.012783721383974989
16,Indonesia,^JKSE,-0.3075448495012916,-0.12695537632336373,-30.75%,-12.70%,ID,IDN,360,-5.0,120.0,0.006999999999999999,Asia,0.3075448495012916,0.12695537632336373
17,Israel,^TA125.TA,-0.30593206169861575,-0.15514325632490578,-30.59%,-15.51%,IL,ISR,376,31.5,34.75,0.11599999999999999,Asia,0.30593206169861575,0.15514325632490578
18,Italy,WIITA.FGI,-0.38435474366529165,-0.25073659398939296,-38.44%,-25.07%,IT,ITA,380,42.8333,12.8333,0.05,Europe,0.38435474366529165,0.25073659398939296
19,Japan,^N225,-0.29263523609320563,0.009659166501267968,-29.26%,0.97%,JP,JPN,392,36.0,138.0,0.008,Asia,0.29263523609320563,0.009659166501267968
21,Kuwait,^DJIMKW,-0.2722945303737708,-0.048566733613292,-27.23%,-4.86%,KW,KWT,414,29.3375,47.6581,0.7020000000000001,Asia,0.2722945303737708,0.048566733613292
22,Malaysia,^KLSE,-0.20495910235641945,-0.007111405548718475,-20.50%,-0.71%,MY,MYS,458,2.5,112.5,0.09300000000000001,Asia,0.20495910235641945,0.007111405548718475
23,Mexico,^MXX,-0.21731726320390188,-0.15313032415398153,-21.73%,-15.31%,MX,MEX,484,23.0,-102.0,0.008,North America,0.21731726320390188,0.15313032415398153
24,Morocco,^NQMAEUR,-0.2442189066820626,-0.1470418426570239,-24.42%,-14.70%,MA,MAR,504,32.0,-5.0,0.027000000000000003,Africa,0.2442189066820626,0.1470418426570239
25,New Zealand,^NZ50,-0.23149265501494676,0.04695590156150975,-23.15%,4.70%,NZ,NZL,554,-41.0,174.0,0.207,Oceania,0.23149265501494676,0.04695590156150975
26,Pakistan,WIPAK.FGI,-0.3398533007334963,-0.2158235810762693,-33.99%,-21.58%,PK,PAK,586,30.0,70.0,0.009000000000000001,Asia,0.3398533007334963,0.2158235810762693
27,Peru,WIPER.FGI,-0.3348768925307688,-0.24096338789685745,-33.49%,-24.10%,PE,PER,604,-10.0,-76.0,0.03,South America,0.3348768925307688,0.24096338789685745
28,Philippines,WIPHL.FGI,-0.37325711209114876,-0.20605072090832077,-37.33%,-20.61%,PH,PHL,608,13.0,122.0,0.009000000000000001,Asia,0.37325711209114876,0.20605072090832077
29,Portugal,PSI20.LS,-0.338451208182713,-0.20890017200621802,-33.85%,-20.89%,PT,PRT,620,39.5,-8.0,0.196,Europe,0.338451208182713,0.20890017200621802
30,Qatar,WIQAT.FGI,-0.09884328311243684,-0.0365769235610266,-9.88%,-3.66%,QA,QAT,634,25.5,51.25,0.34700000000000003,Asia,0.09884328311243684,0.0365769235610266
31,Russia,IMOEX.ME,-0.26933737202110264,-0.082993795150204,-26.93%,-8.30%,RU,RUS,643,60.0,100.0,0.013999999999999999,Europe,0.26933737202110264,0.082993795150204
33,Singapore,^STI,-0.28089341350336494,-0.2047850867210459,-28.09%,-20.48%,SG,SGP,702,1.3667,103.8,0.513,Asia,0.28089341350336494,0.2047850867210459
34,South Africa,^JN0U.JO,-0.4337076878756061,-0.11018578876513163,-43.37%,-11.02%,ZA,ZAF,710,-29.0,24.0,0.017,Africa,0.4337076878756061,0.11018578876513163
35,South Korea,^KS11,-0.34053586475939335,0.07697453143533806,-34.05%,7.70%,KR,KOR,410,37.0,127.5,0.02,Asia,0.34053586475939335,0.07697453143533806
36,Spain,WIESP.FGI,-0.35858403426389385,-0.314644718509727,-35.86%,-31.46%,ES,ESP,724,40.0,-4.0,0.021,Europe,0.35858403426389385,0.314644718509727
37,Sweden,^OMX,-0.27348604691408684,-0.031274366301122236,-27.35%,-3.13%,SE,SWE,752,62.0,15.0,0.099,Europe,0.27348604691408684,0.031274366301122236
38,Switzerland,^STOXX50E,-0.3650799907047705,-0.15313644197994958,-36.51%,-15.31%,CH,CHE,756,47.0,8.0,0.11599999999999999,Europe,0.3650799907047705,0.15313644197994958
39,Taiwan,^TWII,-0.261717996068782,0.09868913447097483,-26.17%,9.87%,TW,TWN,158,23.5,121.0,0.042,Asia,0.261717996068782,0.09868913447097483
41,Thailand,WITHA.FGI,-0.30166158276652577,-0.21536158845038933,-30.17%,-21.54%,TH,THA,764,15.0,100.0,0.013999999999999999,Asia,0.30166158276652577,0.21536158845038933
42,Turkey,XU100.IS,-0.28525286083425616,-0.0022400080539616285,-28.53%,-0.22%,TR,TUR,792,39.0,35.0,0.012,Asia,0.28525286083425616,0.0022400080539616285
43,United Kingdom,^FTSE,-0.30915916619870587,-0.20409010357298507,-30.92%,-20.41%,GB,GBR,826,54.0,-2.0,0.028999999999999998,Europe,0.30915916619870587,0.20409010357298507
44,United States,^GSPC,-0.28845740381710594,0.030276279103973014,-28.85%,3.03%,US,USA,840,38.0,-97.0,0.003,North America,0.28845740381710594,0.030276279103973014
46,Vietnam,FVTT.FGI,-0.20229777655078685,0.03601690416020742,-20.23%,3.60%,VN,VNM,704,16.0,106.0,0.021,Asia,0.20229777655078685,0.03601690416020742
