,Country,Company Name,Assets-2019(mUSD),Profits-2019(mUSD),Revenue-2019(mUSD)
0,USA,Walmart,219.295,6.670 ,514.405
1,China,Sinopec Group,329.186,5.845 ,414.650
2,Netherlands,Royal Dutch Shell,399.194,23.352 ,396.556
3,China,China National Petroleum,601.900,2.271 ,392.977
4,China,State Grid,572.310,8.175 ,387.056
5,Saudi Arabia,Saudi Aramco,358.873,110.975 ,355.905
6,Britain,BP,282.176,9.383 ,303.738
7,USA,Exxon Mobil,346.196,20.840 ,290.212
8,Germany,Volkswagen,523.672,14.323 ,278.342
9,Japan,Toyota Motor,469.296,16.982 ,272.612
10,USA,Apple,365.725,59.531 ,265.595
11,USA,Berkshire Hathaway,707.794,4.021 ,247.837
12,USA,Amazon.com,162.648,10.073 ,232.887
13,USA,UnitedHealth Group,152.221,11.986 ,226.247
14,South Korea,Samsung Electronics,304.165,39.895 ,221.579
15,Switzerland,Glencore,128.672,3.408 ,219.754
16,USA,McKesson,59.672,34 ,214.319
17,Germany,Daimler,321.891,8.555 ,197.515
18,USA,CVS Health,196.456,-594 ,194.579
19,France,Total,256.762,11.446 ,184.106
20,China,China State Construction Engineering,272.769,3.160 ,181.525
21,Singapore,Trafigura Group,53.801,849 ,180.744
22,Taiwan,Hon Hai Precision Industry,110.013,4.282 ,175.617
23,Italy,EXOR Group,190.052,1.590 ,175.010
24,USA,AT&T,531.864,19.370 ,170.756
25,China,Industrial & Commercial Bank of China,4.034.482,45.002 ,168.979
26,USA,AmerisourceBergen,37.670,1.658 ,167.940
27,USA,Chevron,253.863,14.824 ,166.339
28,China,Ping An Insurance,1.040.383,16.237 ,163.597
29,USA,Ford Motor,256.540,3.677 ,160.338
30,China,China Construction Bank,3.382.422,38.498 ,151.111
31,USA,General Motors,227.339,8.014 ,147.049
32,Japan,Mitsubishi,149.388,5.328 ,145.243
33,Japan,Honda Motor,184.505,5.505 ,143.303
34,USA,Costco Wholesale,40.830,3.134 ,141.576
