Sector,Date,Price ,Open,High,Low,Country
Consumer Staples Historical,6-Oct-20,659.12,664.61,667.47,657.13,USA
Consumer Staples Historical,19-Feb-20,662.06,663.07,664.80,662.04,USA
Consumer Discretionary,6-Oct-20,1206.24,1229.32,1234.83,1203.77,USA
Consumer Discretionary,19-Feb-20,1048.28,1047.34,1052.19,1046.81,USA
Energy,6-Oct-20,225.56,229.05,233.64,225.19,USA
Energy,19-Feb-20,411.79,406.42,413.29,406.42,USA
Financials ,6-Oct-20,406.16,410.41,416.70,405.02,USA
Financials ,19-Feb-20,515.37,511.60,516.76,511.60,USA
Health Care,6-Oct-20,1223.27,1241.42,1243.41,1222.03,USA
Health Care,19-Feb-20,1210.50,1207.81,1212.18,1207.06,USA
Industrials ,6-Oct-20,658.49,669.22,673.70,657.91,USA
Industrials ,19-Feb-20,708.42,709.80,711.86,708.25,USA
Information Technology,6-Oct-20,2034.23,2067.19,2080.88,2027.78,USA
Information Technology,19-Feb-20,1801.61,1782.23,1804.18,1782.23,USA
Real Estate,6-Oct-20,225.43,227.64,228.36,224.55,USA
Real Estate,19-Feb-20,255.78,259.46,259.46,255.78,USA
Telecom Services,6-Oct-20,193.47,197.38,197.52,193.07,USA
Telecom Services,19-Feb-20,192.97,192.26,193.56,192.12,USA
Utilities,6-Oct-20,314.98,312.51,318.45,311.24,USA
Utilities,19-Feb-20,355.20,357.40,358.09,355.18,USA
